Comments,improvement_suggestion
Demasiado largo,Shorten the response
Error de concepto Elvitegravi siempre va on cobicistat,Regenerate response
Demasiado largo. Respustas más cortas,Shorten the response
muy largo,Shorten the response
muy largo,Shorten the response
Respuesta más corto,Shorten the response
fostemsavir si es un fármaco antorretroviral,No specific improvement
Eliminar toda la explicación,Provide more details
hay tratamiento inyectado,No specific improvement
Reducir respuesta,Shorten the response
mezcla VIh con Vih-2. Si hay inyectable,No specific improvement
acortar,Shorten the response
error carga viral mayor de 200,Regenerate response
demasiado largo,Shorten the response
muy larga,Shorten the response
error de concepto uso compasivo,Regenerate response
quitar explicación,Provide more details
demasiado largo,Shorten the response
error con carga viral >200. Es mayor de 1000,Regenerate response
Reducir texto,Shorten the response
Muy extenso,Shorten the response
Redcuir texto,No specific improvement
Poco concreto y muy extenso,Shorten the response
basado n pautas antiguas,Regenerate response
Usa escalas no utilizadas en VIH,No specific improvement
mUyfarragosoa y no da respuesta a el fracoaso por familia de fármacos,No specific improvement
Demasiado extensa,No specific improvement
cv mayor de 1000 copias para estudio de resistencias,No specific improvement
Mas corta,Shorten the response
Información no actualizada. Retirada alerta de Dolutegravir,Regenerate response
obsoleto,Regenerate response
Muy difusa sin decir nada claro,Clarify the response
Demasiado Complicado para el paciente,Clarify the response
Mucha dispersión,Clarify the response
sólo primer párrafo,No specific improvement
reducir texto,Shorten the response
muy larga,Shorten the response
No ajustado a pautas más modernas. Debería especifcar que son con pautas más antiguas,Regenerate response
Quitar la explicación. Dejar el primer párrafo,Provide more details
